Did you feel understood by the chatbot,Did you feel that the chatbot's arguments were relevant?,Do you feel like all your points were addressed?,How much do you agree that fees in the UK should be kept as they are?,"Agreement before
",change points,"threshold
",fees kept,check log,"If the chatbot was successful in changing your mind - tell us why. If the chatbot was not successful, tell us why not. ",Please provide your prolific ID
Sometimes,Yes,Some of them,Strongly Disagree,Strongly Disagree,0,0,no,,the chatbot never really accepted anything other than its own pre-programmed argument and tended to repeat its message albeit in various guises,574c71865bef980010b0e35d
Yes,Sometimes,No,Disagree,Disagree,0,0,no,,No because they never really addressed my arguments about why fees are as high as they are for every university in the country,5a8ad2082a842c0001fce0f2
Yes,Yes,Yes,Neutral,Disagree,1,1,no,,"You cannot really have a proper ""argument"" with a chatbot",589899b7622a230001e743d7
Yes,Yes,Yes,Disagree,Disagree,0,0,no,,No,56a15632e1e5a6000c8fa6b2
Sometimes,Sometimes,Some of them,Strongly Disagree,Strongly Disagree,0,0,no,,"It negated the fact that yes while some may not have to repay the debt, that debt is always there. It used the excuse that it's a part of being an adult and learning to manage finances but forgets that we are not taught how to manage finances before this and may make better choices without needing to be tens of thousands in debt at the start of your future.",5718a9c4dd9ef10013df01f0
Yes,Sometimes,Some of them,Disagree,Disagree,0,0,no,,I still have the same opinion I wouldn't really change it as i was aware it was a chatbot ,5adcf22fcd58990001e47b4b
Sometimes,Sometimes,No,Strongly Disagree,Strongly Disagree,0,0,no,,the chatbot just kept reiterating the same arguments that i didn't agree with or could easily rebuke,5b224205a0527a00019d40ea
Sometimes,No,No,Strongly Disagree,Strongly Disagree,0,0,no,,The chatbot was not able to put up a good enough argument in my opinion,5932e2c8b97ad00001745487
Sometimes,Sometimes,Some of them,Strongly Disagree,Strongly Disagree,0,0,no,,Because it ignored the amount of people from poorer backgrounds that decide not to go because of fees and it just concentrated on the value of paying fees towards the courses. And it talked about money coming away from the NHS without mentioning the many other opportunities for funding.,5b570f4cc146600001b82d8d
Sometimes,Sometimes,Some of them,Disagree,Strongly Disagree,1,0,no,,the chatbot was unsuccessful in changing my mind,595e783b07ed5e0001cd0a97
Yes,Yes,Yes,Neutral,Strongly Disagree,2,2,no,,Successful as it gave research stats ,5a107bbc5d06850001b004c8
Sometimes,Sometimes,No,Disagree,Disagree,0,0,no,,"No , nothing point was valid enough to make me change my mind, to do that i would have need a lot more facts and figures not someones opinion ",595ceb5c7882150001240fef
No,Yes,Some of them,Disagree,Disagree,0,0,no,,"There were some good arguments, but each of my points were not addressed directly. That is why my mind was not changed.",559272f4fdf99b7e42e96932
Sometimes,Sometimes,Some of them,Disagree,Disagree,0,0,no,,it did not have any empathy or understanding for why a student might not want to go into such a high amount of debt for university ,59f1d43d24d7bf00012f17f2
Sometimes,Yes,No,Agree,Agree,0,0,yes,,no i agree with uni fees,58bb44dfb225d90001d09eb7
,,,,,30,28,,,,
15,27,9,0,0,0,0,5,,,
5,1,14,0,0,0,0,42,,,
